Collections Similarity Summary (Weighted by Average Confidence)
======================================================================================================================================================
Total Collections Summarized: 1056

Collection Name                Avg Similarity       Total Confidence   High (>=0.90) Weight (%)       Medium (0.70-0.89) Weight (%)  Low (0.50-0.69) Weight (%)     Very Low (<0.50) Weight (%)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
morningbrew-2023               0.9102               164.1105           69.53                          23.07                          7.40                           0.00                          
thescotsman-2023               0.9049               1066.3167          69.27                          29.37                          0.15                           1.22                          
dailycaller-2023               0.9010               1088.0302          72.65                          16.86                          6.50                           4.00                          
fi2w-2023                      0.8951               65.0212            63.89                          25.31                          10.79                          0.00                          
maroelamedia-2023              0.8906               614.7162           81.03                          11.97                          1.46                           5.54                          
news_letter-2023               0.8878               1718.1982          57.74                          39.51                          1.89                           0.86                          
dailymaverick-2023             0.8837               2288.5668          55.19                          42.04                          0.74                           2.03                          
spacenews_inc-2023             0.8829               257.2609           63.52                          27.97                          2.36                           6.14                          
themessenger-2023              0.8813               833.3374           63.14                          28.32                          3.48                           5.05                          
nextcityorg-2023               0.8748               448.1966           66.13                          18.72                          8.11                           7.04                          
foxnews-2023                   0.8725               1995.4062          63.11                          23.85                          7.84                           5.20                          
weatherchannel-2023            0.8714               403.6301           77.19                          8.23                           0.19                           14.39                         
hotairblog-2023                0.8706               315.3488           65.42                          20.57                          6.40                           7.61                          
defectormedia-2023             0.8674               297.2273           62.69                          20.40                          4.62                           12.29                         
theathletic-2023               0.8652               993.8944           69.30                          10.03                          13.85                          6.83                          
teamtrace-2023                 0.8575               331.9816           55.98                          33.65                          4.73                           5.64                          
msfreepress-2023               0.8562               529.6938           36.71                          57.18                          3.79                           2.33                          
reductress-2023                0.8557               251.2523           44.95                          43.28                          5.24                           6.53                          
14eastmag-2023                 0.8556               508.6882           54.96                          34.76                          4.27                           6.01                          
wbur-2023                      0.8553               598.6324           53.29                          35.47                          4.60                           6.65                          
democracynow-2023              0.8532               444.0198           63.34                          19.62                          9.44                           7.59                          
redstate-2023                  0.8504               741.7589           50.55                          38.05                          6.41                           4.98                          
