Collections Similarity Summary (Weighted by Average Confidence)
======================================================================================================================================================
Total Collections Summarized: 1105

Collection Name                Avg Similarity       Total Confidence   High (>=0.90) Weight (%)       Medium (0.70-0.89) Weight (%)  Low (0.50-0.69) Weight (%)     Very Low (<0.50) Weight (%)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bonginoreport-2023             0.9724               961.5206           93.94                          5.03                           1.02                           0.00                          
france24_en-2023               0.9668               773.2214           94.55                          3.11                           0.52                           1.82                          
wfxl-2023                      0.9665               798.6337           94.29                          3.68                           0.17                           1.86                          
dailycaller-2023               0.9610               1173.0060          93.45                          5.01                           0.00                           1.54                          
wnyt-2023                      0.9599               587.5867           86.77                          10.90                          1.15                           1.19                          
nzstuff-2023                   0.9535               2809.7707          92.20                          4.59                           0.43                           2.78                          
salon-2023                     0.9496               708.4931           82.43                          16.37                          0.71                           0.49                          
katvnews-2023                  0.9476               832.9829           90.92                          3.58                           1.62                           3.88                          
theathletic-2023               0.9447               1544.3369          91.10                          5.37                           0.58                           2.95                          
globalnews-2023                0.9396               984.9966           89.37                          6.92                           0.55                           3.15                          
cnn-2023                       0.9395               1637.2073          89.24                          3.91                           0.43                           6.42                          
theintercept-2023              0.9392               424.6930           79.84                          17.43                          2.18                           0.55                          
abc3340-2023                   0.9370               862.2051           90.57                          3.36                           0.04                           6.03                          
rt_com-2023                    0.9363               894.5317           88.65                          5.34                           1.06                           4.95                          
infowars-2023                  0.9358               4487.4918          90.26                          7.67                           1.11                           0.96                          
news3lv-2023                   0.9354               855.3538           85.66                          8.30                           0.54                           5.49                          
dailyneb-2023                  0.9347               469.0064           79.98                          17.02                          0.57                           2.44                          
morningbrew-2023               0.9342               167.9398           83.47                          10.14                          6.39                           0.00                          
cnet-2023                      0.9315               779.2725           81.90                          14.26                          1.81                           2.04                          
daily_record-2023              0.9295               1389.3222          81.31                          15.29                          1.00                           2.40                          
dailymaverick-2023             0.9294               2277.6853          81.42                          16.33                          0.35                           1.90                          
globeandmail-2023              0.9291               1613.2654          87.40                          6.73                           0.71                           5.16                          
thebuffalonews-2023            0.9291               754.2538           73.94                          21.94                          3.42                           0.69                          
wral-2023                      0.9290               1654.4182          81.15                          12.24                          1.90                           4.70                          
fi2w-2023                      0.9286               72.4931            78.01                          18.66                          3.33                           0.00                          
france24-2023                  0.9283               878.9875           88.77                          9.01                           0.70                           1.52                          
